O1;ASM;;;
1585;699;;;
2298;892;;;
1186;328;;;
1713;549;;;
2775;880;;;
614;470;;;
2842;1135;;;
3269;1488;;;
3626;1194;;;
861;356;;;
999;515;;;
1176;434;;;
1788;673;;;
2765;1038;;;
1462;545;;;
926;360;;;
1309;450;;;
951;395;;;
932;423;;;
1208;483;;;
1587;498;;;
2986;1518;;;
2481;406;;;
2183;1127;;;
5232;1267;;;
3758;1218;;;
931;314;;;
2907;964;;;
802;355;;;
1972;887;;;
3813;1585;;;
2057;752;;;
2057;1028;;;
3314;902;;;
4336;1185;;;
2173;947;;;
2219;515;;;
2714;967;;;
934;470;;;
1076;495;;;
2094;663;;;
2386;647;;;
1611;548;;;
1640;497;;;
1174;525;;;
2422;894;;;
995;351;;;
3000;1634;;;
4200;1707;;;
1924;588;;;
2461;1295;;;
1350;508;;;
2850;809;;;
2100;386;;;
1261;664;;;
1616;448;;;
2802;1376;;;
987;329;;;
813;332;;;
4609;1814;;;
948;408;;;
896;407;;;
3843;1248;;;
1442;410;;;
2702;975;;;
2104;621;;;
1102;603;;;
876;328;;;
1575;387;;;
1492;386;;;
1912;620;;;
2702;1125;;;
3653;1415;;;
2775;1069;;;
1575;474;;;
1917;718;;;
1688;523;;;
3116;1579;;;
1469;492;;;
2427;825;;;
1559;762;;;
803;503;;;
1078;462;;;
2576;1318;;;
2327;1417;;;
1342;570;;;
1014;325;;;
4589;1169;;;
3736;1373;;;
3127;1409;;;
2035;884;;;
2418;727;;;
1936;505;;;
1072;660;;;
4263;1103;;;
1007;551;;;
1338;882;;;
2700;971;;;
1561;928;;;
724;533;;;
1252;477;;;
1152;414;;;
1892;1092;;;
726;612;;;
704;563;;;
1101;379;;;
1044;434;;;
912;454;;;
2485;1056;;;
756;385;;;
1141;420;;;
1644;1102;;;
2229;904;;;
1209;567;;;
1293;685;;;
2507;1340;;;
744;383;;;
1699;565;;;
1093;375;;;
312;282;;;
1434;464;;;
1618;884;;;
1401;683;;;
3939;1613;;;
2266;908;;;
1299;647;;;
1569;517;;;
2274;790;;;
744;324;;;
2325;885;;;
1833;694;;;
2100;853;;;
3105;795;;;
2386;840;;;
1871;628;;;
2015;556;;;
1250;460;;;
1713;793;;;
3687;1305;;;
1279;730;;;
5001;1323;;;
1194;352;;;
831;545;;;
2710;1180;;;
803;410;;;
2568;693;;;
1644;483;;;
1175;663;;;
1019;563;;;
2445;969;;;
2271;1003;;;
2444;937;;;
1613;537;;;
2100;638;;;
2425;515;;;
3028;815;;;
848;312;;;
1077;290;;;
591;268;;;
768;480;;;
2893;807;;;
1103;499;;;
3969;1539;;;
2696;908;;;
4392;1332;;;
1526;667;;;
726;409;;;
906;728;;;
651;547;;;
1143;290;;;
1249;626;;;
1743;423;;;
1936;501;;;
3117;1334;;;
3146;738;;;
1916;770;;;
2452;849;;;
1467;529;;;
1477;718;;;
797;412;;;
1656;992;;;
2889;1189;;;
764;373;;;
1173;620;;;
1585;355;;;
1478;718;;;
784;302;;;
1026;359;;;
715;385;;;
1227;716;;;
948;468;;;
3294;1800;;;
2829;1407;;;
567;276;;;
1842;813;;;
1062;331;;;
898;348;;;
1652;685;;;
1415;882;;;
1245;533;;;
1303;507;;;
2484;975;;;
2518;1133;;;
1612;686;;;
779;311;;;
2969;1735;;;
2771;758;;;
3191;983;;;
1770;1028;;;
1518;612;;;
2987;576;;;
1824;810;;;
695;442;;;
779;438;;;
1200;436;;;
3049;1107;;;
991;545;;;
3604;850;;;
1510;756;;;
1012;542;;;
831;422;;;
729;345;;;
3122;998;;;
1039;491;;;
1004;462;;;
4871;1248;;;
2100;801;;;
953;414;;;
