O1;ASM;;;
565;578;;;
948;480;;;
1181;1212;;;
761;936;;;
565;642;;;
2009;1332;;;
843;600;;;
357;285;;;
503;418;;;
2086;1263;;;
981;483;;;
620;432;;;
682;778;;;
568;588;;;
555;379;;;
810;537;;;
1713;1810;;;
466;330;;;
467;316;;;
2595;1358;;;
466;549;;;
602;573;;;
1981;1421;;;
1454;1468;;;
1433;1225;;;
416;465;;;
669;398;;;
1056;973;;;
967;1222;;;
434;490;;;
991;1325;;;
999;983;;;
473;527;;;
721;577;;;
430;485;;;
955;888;;;
644;330;;;
1610;1190;;;
596;586;;;
1228;1131;;;
760;539;;;
882;647;;;
276;347;;;
1173;1346;;;
1008;588;;;
806;461;;;
955;387;;;
442;341;;;
1084;576;;;
464;472;;;
531;888;;;
1113;573;;;
223;458;;;
846;630;;;
1348;965;;;
415;400;;;
2151;1482;;;
539;582;;;
1457;938;;;
790;851;;;
485;316;;;
493;339;;;
2232;1283;;;
626;438;;;
2047;1932;;;
971;847;;;
300;332;;;
848;665;;;
186;298;;;
425;314;;;
551;630;;;
1477;1571;;;
1127;937;;;
1800;1067;;;
689;869;;;
1583;533;;;
1239;845;;;
698;359;;;
316;399;;;
1224;1074;;;
168;280;;;
1198;1153;;;
505;304;;;
537;590;;;
1006;48413;;;
553;855;;;
209;788;;;
1630;1913;;;
1877;1974;;;
1127;1489;;;
2279;3535;;;
1283;628;;;
880;955;;;
1632;685;;;
1642;1228;;;
803;469;;;
640;503;;;
573;708;;;
175;541;;;
851;864;;;
466;782;;;
632;847;;;
991;815;;;
1640;1200;;;
989;1332;;;
393;800;;;
493;359;;;
1735;1915;;;
838;837;;;
2058;1492;;;
852;533;;;
848;687;;;
756;1050;;;
953;632;;;
487;527;;;
1719;1800;;;
1188;1168;;;
878;951;;;
527;815;;;
322;573;;;
2025;1911;;;
201;397;;;
894;908;;;
495;552;;;
2497;2364;;;
1178;734;;;
854;1107;;;
1413;1165;;;
1107;1259;;;
2047;1287;;;
1354;1129;;;
791;665;;;
490;784;;;
578;496;;;
581;936;;;
1346;1628;;;
1727;2603;;;
1104;1012;;;
3308;2258;;;
1005;1305;;;
458;503;;;
848;1077;;;
1091;572;;;
1571;1528;;;
1186;1273;;;
494;795;;;
850;944;;;
580;754;;;
1098;1096;;;
1127;991;;;
496;671;;;
936;1098;;;
450;965;;;
479;795;;;
432;655;;;
494;594;;;
669;1603;;;
1240;1320;;;
892;1087;;;
1677;2055;;;
2378;2236;;;
568;633;;;
365;467;;;
582;623;;;
831;1145;;;
711;535;;;
1213;1151;;;
815;1046;;;
1571;2962;;;
547;900;;;
452;544;;;
618;839;;;
606;715;;;
1300;1275;;;
168;335;;;
1721;1715;;;
517;825;;;
298;405;;;
888;667;;;
1182;1360;;;
1218;1907;;;
981;652;;;
456;598;;;
3274;3140;;;
663;795;;;
1623;1774;;;
780;1289;;;
716;888;;;
1097;1497;;;
758;1173;;;
476;410;;;
2141;2297;;;
992;804;;;
383;509;;;
1170;750;;;
1687;1510;;;
791;793;;;
478;769;;;
1599;1556;;;
588;927;;;
1079;1153;;;
479;465;;;
316;664;;;
474;852;;;
1036;1160;;;
977;817;;;
292;308;;;
701;643;;;
420;430;;;
924;712;;;
1026;845;;;
1076;1125;;;
852;1163;;;
839;1100;;;
1824;2195;;;
322;460;;;
786;833;;;
2266;2384;;;
1350;1395;;;
1959;1072;;;
483;942;;;
1129;1444;;;
1200;1208;;;
186;335;;;
1602;1058;;;
1881;1137;;;
1980;2088;;;
1522;1654;;;
1745;2005;;;
1241;1247;;;
626;863;;;
929;723;;;
787;890;;;
468;325;;;
774;738;;;
1074;1048;;;
561;673;;;
634;590;;;
804;837;;;
1171;1212;;;
797;638;;;
442;544;;;
914;353;;;
2454;1129;;;
2787;1875;;;
361;521;;;
726;576;;;
2398;1969;;;
736;675;;;
702;1123;;;
1340;1252;;;
756;1297;;;
282;359;;;
624;468;;;
1143;1540;;;
679;827;;;
1121;1157;;;
571;600;;;
1242;955;;;
2106;2120;;;
1156;924;;;
369;840;;;
767;960;;;
1847;1567;;;
892;608;;;
689;875;;;
1322;1038;;;
655;565;;;
1196;1231;;;
688;627;;;
1194;865;;;
1599;1503;;;
596;452;;;
1212;1348;;;
849;888;;;
1741;1245;;;
939;1007;;;
1076;1698;;;
1822;1920;;;
673;726;;;
1020;1100;;;
3158;2532;;;
773;925;;;
694;750;;;
1512;1125;;;
1323;1143;;;
1430;1540;;;
2671;1962;;;
1080;1292;;;
1172;1248;;;
1366;845;;;
840;1080;;;
1340;1350;;;
476;525;;;
543;697;;;
1152;1358;;;
2487;2132;;;
937;1200;;;
1719;1598;;;
644;853;;;
343;470;;;
641;1200;;;
1893;1798;;;
608;841;;;
811;1001;;;
636;809;;;
786;790;;;
2501;2116;;;
874;975;;;
1558;1731;;;
478;888;;;
624;435;;;
1624;1184;;;
1660;2123;;;
296;487;;;
489;385;;;
1230;1283;;;
416;361;;;
1893;1760;;;
2007;1490;;;
1405;1281;;;
435;632;;;
661;768;;;
531;756;;;
800;1022;;;
754;813;;;
979;773;;;
1105;1044;;;
902;1386;;;
725;1565;;;
874;875;;;
737;874;;;
710;750;;;
823;1007;;;
685;866;;;
495;578;;;
1009;1062;;;
166;302;;;
316;434;;;
437;365;;;
551;450;;;
464;701;;;
505;647;;;
337;435;;;
1686;1441;;;
1525;1293;;;
1086;1407;;;
547;1066;;;
770;870;;;
845;1190;;;
673;608;;;
1918;1879;;;
832;1072;;;
1187;1052;;;
711;1171;;;
594;667;;;
1265;1293;;;
823;965;;;
1983;1388;;;
798;1247;;;
1234;1360;;;
861;1007;;;
622;629;;;
598;823;;;
845;695;;;
2351;2122;;;
334;618;;;
1120;983;;;
2728;2839;;;
474;584;;;
479;514;;;
935;981;;;
825;1085;;;
892;754;;;
957;817;;;
518;728;;;
339;468;;;
833;730;;;
994;1125;;;
1258;1360;;;
1391;1228;;;
478;782;;;
2586;1725;;;
645;553;;;
1899;1232;;;
860;884;;;
1312;1475;;;
1120;1211;;;
3140;2448;;;
977;868;;;
521;448;;;
871;1251;;;
941;710;;;
513;610;;;
1184;1850;;;
612;730;;;
2702;1660;;;
2248;1399;;;
1091;1500;;;
1382;1188;;;
381;420;;;
904;977;;;
595;740;;;
1105;687;;;
1818;1756;;;
699;807;;;
2181;1719;;;
1321;1373;;;
766;695;;;
1105;1502;;;
517;541;;;
336;521;;;
2516;2035;;;
1662;945;;;
3247;2998;;;
1138;722;;;
675;415;;;
785;750;;;
2605;1769;;;
973;860;;;
1812;1325;;;
484;529;;;
731;552;;;
617;685;;;
567;606;;;
1835;1479;;;
1473;1103;;;
2098;1470;;;
523;777;;;
482;575;;;
1212;955;;;
1611;1311;;;
1782;1994;;;
1064;785;;;
645;952;;;
515;661;;;
785;828;;;
761;842;;;
1113;944;;;
534;671;;;
914;1050;;;
1371;1261;;;
1710;1765;;;
467;556;;;
1097;1468;;;
1341;1180;;;
916;1002;;;
1318;1176;;;
961;1068;;;
614;890;;;
1044;715;;;
1033;1255;;;
643;641;;;
1242;1306;;;
1883;2307;;;
511;793;;;
1463;1708;;;
1192;1064;;;
825;738;;;
756;960;;;
468;636;;;
809;927;;;
1109;1389;;;
911;852;;;
1145;841;;;
898;1184;;;
809;985;;;
2053;1389;;;
888;1013;;;
847;1165;;;
975;1153;;;
517;728;;;
1410;1564;;;
681;625;;;
1358;1619;;;
600;672;;;
2392;1478;;;
1988;1415;;;
1936;1451;;;
677;1006;;;
1111;1370;;;
1132;1164;;;
692;835;;;
942;1060;;;
367;612;;;
1963;1969;;;
1061;1250;;;
767;821;;;
387;590;;;
986;1058;;;
460;594;;;
1683;1265;;;
486;2084;;;
1200;Nope!;;;
508;1010;;;
1587;450;;;
1899;1606;;;
635;1997;;;
1390;817;;;
1800;1600;;;
719;1125;;;
947;920;;;
1242;941;;;
1609;1283;;;
651;1220;;;
482;790;;;
1591;485;;;
690;1334;;;
1002;746;;;
344;1007;;;
1443;773;;;
684;1275;;;
1845;581;;;
1773;1660;;;
764;1617;;;
3095;793;;;
1208;1628;;;
1237;718;;;
832;805;;;
2298;1002;;;
807;2151;;;
497;861;;;
1345;692;;;
483;1323;;;
539;614;;;
967;343;;;
720;1111;;;
1317;896;;;
1026;885;;;
961;1114;;;
475;1109;;;
910;610;;;
485;1002;;;
673;511;;;
975;665;;;
2076;959;;;
616;2116;;;
1415;817;;;
1433;1676;;;
752;1290;;;
686;580;;;
1427;667;;;
1212;1644;;;
509;1382;;;
941;710;;;
638;1070;;;
2900;444;;;
973;2625;;;
1833;898;;;
1719;947;;;
1287;1137;;;
1320;1006;;;
1279;810;;;
495;1251;;;
1800;562;;;
653;1133;;;
1202;541;;;
1139;333;;;
1639;900;;;
1259;2641;;;
705;1366;;;
1039;708;;;
503;847;;;
2124;415;;;
566;1634;;;
1015;399;;;
932;1011;;;
1733;568;;;
1622;1050;;;
768;1520;;;
1838;971;;;
1113;1942;;;
472;1010;;;
2170;383;;;
953;1918;;;
1081;1105;;;
736;882;;;
1143;849;;;
1025;876;;;
653;987;;;
188;484;;;
1350;313;;;
838;1121;;;
577;817;;;
651;815;;;
1794;610;;;
1064;2590;;;
2190;773;;;
917;1429;;;
1965;979;;;
955;1200;;;
1733;572;;;
1344;1575;;;
182;929;;;
746;266;;;
932;616;;;
1081;959;;;
555;1135;;;
485;544;;;
1401;549;;;
934;1198;;;
1549;584;;;
1938;837;;;
765;1520;;;
904;655;;;
3174;995;;;
2727;1010;;;
874;1358;;;
2063;888;;;
2643;1415;;;
308;1630;;;
959;324;;;
1198;926;;;
1072;977;;;
416;873;;;
644;768;;;
650;710;;;
441;647;;;
576;403;;;
951;485;;;
1168;705;;;
1314;580;;;
1394;965;;;
2083;1159;;;
725;1524;;;
1128;571;;;
1577;914;;;
1873;1070;;;
731;1245;;;
414;581;;;
629;712;;;
695;458;;;
490;590;;;
1078;Nope!;;;
436;426;;;
596;1228;;;
1413;450;;;
1350;442;;;
1521;1739;;;
1543;1226;;;
748;1670;;;
627;1378;;;
410;561;;;
1994;544;;;
1839;387;;;
2254;1435;;;
1166;2055;;;
1273;1139;;;
1750;719;;;
847;789;;;
1988;1038;;;
2379;961;;;
1587;1770;;;
863;2260;;;
450;1020;;;
3063;560;;;
1082;505;;;
1117;1358;;;
1423;1234;;;
1547;825;;;
458;1415;;;
1230;1050;;;
1099;387;;;
1165;1302;;;
768;1075;;;
813;1551;;;
1350;545;;;
965;728;;;
716;687;;;
1839;584;;;
977;332;;;
1895;847;;;
778;521;;;
1661;1524;;;
622;853;;;
337;810;;;
186;586;;;
1192;454;;;
1332;364;;;
496;1102;;;
1115;1135;;;
2067;387;;;
633;543;;;
855;1255;;;
977;531;;;
647;995;;;
1731;608;;;
1242;620;;;
817;916;;;
921;764;;;
1010;616;;;
1066;726;;;
1202;965;;;
934;1025;;;
961;979;;;
612;1422;;;
523;1121;;;
746;408;;;
1654;472;;;
1137;663;;;
618;800;;;
1364;843;;;
442;353;;;
1230;890;;;
567;475;;;
957;735;;;
609;438;;;
1072;844;;;
460;888;;;
1093;902;;;
916;458;;;
416;657;;;
1601;489;;;
1085;386;;;
1036;1654;;;
1549;1005;;;
1068;1048;;;
1693;1122;;;
466;671;;;
659;1283;;;
456;480;;;
624;405;;;
1418;436;;;
1273;576;;;
770;924;;;
1228;825;;;
864;645;;;
555;1245;;;
489;687;;;
1073;415;;;
1575;411;;;
456;1415;;;
1338;1090;;;
2200;549;;;
679;1030;;;
1218;1498;;;
197;472;;;
2011;1006;;;
219;310;;;
705;1141;;;
1085;355;;;
1013;482;;;
1689;924;;;
1382;825;;;
855;1737;;;
550;2023;;;
1255;858;;;
864;560;;;
1062;912;;;
199;385;;;
1356;529;;;
1131;310;;;
484;931;;;
855;636;;;
1218;371;;;
658;967;;;
3612;1192;;;
1907;493;;;
483;2345;;;
1034;1705;;;
322;350;;;
1934;762;;;
409;515;;;
1674;1548;;;
886;686;;;
349;963;;;
399;656;;;
1020;450;;;
1328;505;;;
1806;560;;;
1123;720;;;
989;1323;;;
488;1066;;;
1500;608;;;
1127;312;;;
1681;790;;;
774;940;;;
1463;1077;;;
863;450;;;
1068;828;;;
707;465;;;
1334;798;;;
855;517;;;
1174;837;;;
653;460;;;
2492;875;;;
642;615;;;
1526;1381;;;
807;584;;;
577;1291;;;
501;600;;;
2029;477;;;
1810;312;;;
977;2254;;;
1445;1792;;;
371;714;;;
823;1575;;;
458;460;;;
762;565;;;
839;442;;;
541;1087;;;
1064;434;;;
853;417;;;
1273;1010;;;
1127;402;;;
624;908;;;
825;1050;;;
995;394;;;
1778;875;;;
703;825;;;
1091;1066;;;
644;292;;;
1850;1154;;;
719;690;;;
797;1877;;;
502;807;;;
1236;549;;;
1016;335;;;
1033;975;;;
742;1393;;;
2848;699;;;
377;973;;;
239;2151;;;
1777;478;;;
1210;373;;;
732;1275;;;
1131;865;;;
1173;498;;;
557;1462;;;
964;1259;;;
792;417;;;
492;842;;;
691;872;;;
928;557;;;
1065;725;;;
310;635;;;
1715;883;;;
310;478;;;
379;785;;;
663;308;;;
933;632;;;
750;719;;;
594;744;;;
837;722;;;
314;535;;;
1148;718;;;
405;300;;;
1477;914;;;
231;440;;;
436;1294;;;
1358;710;;;
547;527;;;
474;1792;;;
604;553;;;
519;472;;;
878;357;;;
904;523;;;
615;842;;;
1375;889;;;
908;844;;;
1308;920;;;
253;793;;;
470;1275;;;
462;387;;;
1075;331;;;
1002;681;;;
367;1010;;;
1210;835;;;
738;727;;;
683;1022;;;
1038;961;;;
546;487;;;
697;938;;;
482;560;;;
625;983;;;
1202;324;;;
454;858;;;
480;1003;;;
827;604;;;
709;443;;;
231;572;;;
677;750;;;
673;507;;;
732;908;;;
375;663;;;
1289;989;;;
1152;454;;;
339;1323;;;
1492;701;;;
746;334;;;
444;1208;;;
663;888;;;
297;493;;;
1528;590;;;
892;405;;;
534;1547;;;
531;1017;;;
335;553;;;
1372;600;;;
458;391;;;
363;677;;;
890;600;;;
273347;407;;;
770;1006;;;
1145;1155;;;
837;539;;;
981;1034;;;
1271;448;;;
332;990;;;
1012;814;;;
464;418;;;
671;791;;;
476;486;;;
393;660;;;
1036;523;;;
485;513;;;
1068;839;;;
192;332;;;
1342;1010;;;
1324;348;;;
480;1247;;;
937;1027;;;
1084;452;;;
1079;655;;;
924;870;;;
1914;770;;;
1491;837;;;
190;1979;;;
788;1494;;;
1510;288;;;
1129;781;;;
876;1014;;;
677;1200;;;
727;875;;;
501;833;;;
695;772;;;
1265;829;;;
628;746;;;
989;726;;;
1243;642;;;
833;975;;;
493;965;;;
641;1003;;;
635;577;;;
948;522;;;
466;845;;;
908;772;;;
499;452;;;
450;593;;;
1156;1020;;;
176;373;;;
408;1362;;;
434;300;;;
518;490;;;
527;432;;;
494;833;;;
736;509;;;
186;563;;;
736;419;;;
423;377;;;
772;943;;;
740;292;;;
687;673;;;
221;381;;;
1546;485;;;
1279;354;;;
1674;1335;;;
456;630;;;
193;1299;;;
809;513;;;
359;446;;;
495;983;;;
423;395;;;
533;470;;;
981;500;;;
572;768;;;
716;975;;;
647;694;;;
787;420;;;
462;904;;;
484;912;;;
304;565;;;
497;545;;;
1289;247;;;
491;470;;;
649;800;;;
188;357;;;
481;664;;;
756;475;;;
432;513;;;
564;623;;;
1123;961;;;
1067;556;;;
363;497;;;
675;1334;;;
1065;398;;;
225;569;;;
424;845;;;
521;383;;;
215;598;;;
900;397;;;
938;460;;;
948;787;;;
270;1245;;;
604;956;;;
470;402;;;
416;1098;;;
719;683;;;
675;600;;;
847;809;;;
1181;541;;;
843;841;;;
468;1005;;;
1024;687;;;
1721;872;;;
1143;959;;;
477;1587;;;
1115;1018;;;
857;358;;;
1194;1007;;;
943;1125;;;
872;1011;;;
646;707;;;
1352;640;;;
191;1056;;;
853;1630;;;
1259;344;;;
739;1141;;;
389;1174;;;
596;1109;;;
669;480;;;
944;647;;;
361;1279;;;
181;1152;;;
1389;502;;;
1007;431;;;
192;903;;;
393;1157;;;
158;333;;;
357;324;;;
505;372;;;
247;460;;;
319;877;;;
1034;651;;;
1035;383;;;
322;991;;;
2344;825;;;
290;559;;;
762;2568;;;
201;793;;;
699;748;;;
446;493;;;
715;884;;;
765;600;;;
939;734;;;
229;815;;;
517;1273;;;
237;600;;;
633;482;;;
963;440;;;
407;527;;;
468;1263;;;
371;1163;;;
488;756;;;
608;559;;;
377;710;;;
211;594;;;
876;507;;;
745;383;;;
805;929;;;
423;677;;;
1018;985;;;
430;848;;;
693;1356;;;
2509;900;;;
835;1038;;;
286;1944;;;
1076;1283;;;
310;537;;;
431;1058;;;
740;462;;;
529;726;;;
837;1244;;;
677;1066;;;
229;975;;;
190;1460;;;
1014;477;;;
217;340;;;
362;999;;;
208;421;;;
609;439;;;
302;412;;;
758;774;;;
981;475;;;
912;1003;;;
892;1435;;;
788;1212;;;
675;1453;;;
1318;1002;;;
249;1129;;;
448;1494;;;
201;850;;;
527;734;;;
703;426;;;
888;777;;;
708;1220;;;
604;1508;;;
667;900;;;
324;1048;;;
1713;1042;;;
273;340;;;
738;1465;;;
529;647;;;
923;1445;;;
474;951;;;
789;1585;;;
715;977;;;
229;702;;;
354;1137;;;
476;505;;;
462;1052;;;
552;535;;;
253;1601;;;
851;1448;;;
371;355;;;
426;1456;;;
429;981;;;
225;1342;;;
233;790;;;
1085;330;;;
584;385;;;
594;1990;;;
327;1000;;;
432;1070;;;
371;400;;;
396;365;;;
221;734;;;
168;381;;;
166;300;;;
398;420;;;
510;308;;;
164;740;;;
232;1157;;;
785;466;;;
666;402;;;
388;1240;;;
308;1678;;;
563;1001;;;
316;963;;;
346;508;;;
223;832;;;
712;910;;;
722;450;;;
336;928;;;
837;1220;;;
610;697;;;
700;648;;;
302;990;;;
295;790;;;
217;975;;;
827;748;;;
579;470;;;
531;1008;;;
917;999;;;
694;630;;;
207;1425;;;
367;648;;;
448;507;;;
498;1034;;;
199;805;;;
558;1155;;;
521;498;;;
576;898;;;
222;1283;;;
782;730;;;
1106;529;;;
363;1185;;;
450;1776;;;
418;790;;;
659;544;;;
172;837;;;
918;667;;;
174;320;;;
717;1269;;;
587;284;;;
764;1650;;;
280;1033;;;
412;981;;;
403;356;;;
326;734;;;
351;718;;;
825;497;;;
190;485;;;
486;1215;;;
450;310;;;
846;1007;;;
373;768;;;
195;842;;;
298;466;;;
434;347;;;
774;612;;;
203;915;;;
689;800;;;
987;517;;;
285;734;;;
900;902;;;
231;655;;;
346;1488;;;
497;503;;;
691;775;;;
215;1190;;;
474;1119;;;
503;492;;;
1048;931;;;
225;1001;;;
345;1042;;;
287;543;;;
714;691;;;
341;480;;;
531;1100;;;
414;1031;;;
446;625;;;
385;710;;;
240;979;;;
531;827;;;
233;353;;;
363;657;;;
387;738;;;
389;507;;;
405;1156;;;
235;687;;;
643;598;;;
709;536;;;
162;1150;;;
638;1018;;;
288;446;;;
568;825;;;
764;748;;;
564;1725;;;
415;1380;;;
426;960;;;
576;679;;;
249;912;;;
203;985;;;
347;422;;;
570;375;;;
401;770;;;
215;665;;;
229;754;;;
536;407;;;
455;365;;;
379;734;;;
327;594;;;
486;798;;;
835;525;;;
215;501;;;
264;1194;;;
989;402;;;
345;549;;;
174;997;;;
796;408;;;
191;423;;;
310;801;;;
265;411;;;
432;756;;;
254;785;;;
355;752;;;
387;468;;;
464;798;;;
321;573;;;
600;647;;;
421;413;;;
389;959;;;
675;628;;;
547;760;;;
237;1115;;;
176;733;;;
485;543;;;
330;403;;;
651;990;;;
173;420;;;
689;1160;;;
705;321;;;
458;948;;;
422;935;;;
359;760;;;
1080;677;;;
638;875;;;
604;1247;;;
669;806;;;
1331;547;;;
316;1332;;;
164;1348;;;
371;406;;;
1766;410;;;
280;648;;;
446;1981;;;
604;733;;;
732;907;;;
487;1248;;;
737;1522;;;
505;594;;;
347;764;;;
194;956;;;
197;458;;;
914;318;;;
316;513;;;
626;1500;;;
423;837;;;
210;1123;;;
671;548;;;
525;579;;;
353;1025;;;
428;555;;;
363;947;;;
381;562;;;
1151;860;;;
640;742;;;
260;1997;;;
187;809;;;
710;690;;;
533;389;;;
308;1928;;;
344;924;;;
401;663;;;
507;667;;;
644;1449;;;
958;765;;;
440;1394;;;
298;1400;;;
186;462;;;
517;450;;;
596;245;;;
203;758;;;
561;1174;;;
1316;406;;;
256;1048;;;
255;1842;;;
353;592;;;
908;537;;;
284;744;;;
288;1169;;;
296;460;;;
474;359;;;
350;652;;;
765;955;;;
268;1085;;;
545;1445;;;
590;517;;;
188;1150;;;
196;1129;;;
253;326;;;
823;357;;;
347;500;;;
389;1072;;;
641;797;;;
598;643;;;
373;1766;;;
364;837;;;
438;758;;;
178;1067;;;
620;549;;;
391;314;;;
306;1286;;;
251;649;;;
219;679;;;
244;631;;;
205;545;;;
197;412;;;
476;413;;;
732;379;;;
578;634;;;
292;1078;;;
306;1335;;;
263;535;;;
580;395;;;
409;748;;;
665;1400;;;
194;935;;;
620;853;;;
493;300;;;
563;655;;;
407;1275;;;
300;963;;;
256;869;;;
670;731;;;
464;494;;;
308;914;;;
460;1111;;;
847;785;;;
192;798;;;
198;1153;;;
341;353;;;
252;417;;;
397;716;;;
217;383;;;
567;616;;;
174;529;;;
208;590;;;
391;431;;;
287;340;;;
310;720;;;
529;470;;;
265;640;;;
775;806;;;
456;489;;;
525;920;;;
221;1012;;;
555;882;;;
225;381;;;
269;859;;;
213;406;;;
340;608;;;
477;288;;;
237;497;;;
432;843;;;
288;569;;;
280;663;;;
243;395;;;
600;707;;;
458;718;;;
325;1104;;;
464;754;;;
557;785;;;
357;650;;;
450;1142;;;
155;677;;;
262;604;;;
689;294;;;
241;648;;;
402;1468;;;
521;431;;;
198;752;;;
383;600;;;
726;387;;;
225;691;;;
871;1012;;;
332;373;;;
231;533;;;
258;750;;;
206;434;;;
329;434;;;
180;509;;;
866;507;;;
523;407;;;
645;1182;;;
312;694;;;
420;1150;;;
245;565;;;
555;1110;;;
426;507;;;
979;821;;;
373;798;;;
287;1143;;;
296;740;;;
262;675;;;
288;550;;;
247;624;;;
525;468;;;
373;503;;;
322;900;;;
225;671;;;
180;975;;;
412;395;;;
217;278;;;
539;507;;;
335;312;;;
335;622;;;
539;894;;;
359;569;;;
217;912;;;
216;766;;;
341;440;;;
219;420;;;
578;727;;;
468;448;;;
539;870;;;
168;632;;;
221;671;;;
394;316;;;
189;444;;;
223;995;;;
194;330;;;
494;401;;;
207;485;;;
646;1113;;;
450;414;;;
430;1054;;;
391;920;;;
211;805;;;
191;1172;;;
267;556;;;
464;245;;;
288;655;;;
198;851;;;
545;450;;;
759;415;;;
529;1265;;;
555;1309;;;
256;515;;;
1309;798;;;
341;395;;;
1464;687;;;
1240;686;;;
434;1060;;;
298;782;;;
636;310;;;
492;383;;;
412;1690;;;
525;707;;;
272;615;;;
171;335;;;
598;507;;;
278;330;;;
919;943;;;
394;485;;;
842;975;;;
734;460;;;
969;1077;;;
211;722;;;
227;1011;;;
708;485;;;
207;387;;;
418;720;;;
450;422;;;
1229;677;;;
181;963;;;
1036;1670;;;
377;415;;;
1307;919;;;
1423;1048;;;
189;1085;;;
219;1784;;;
456;460;;;
223;331;;;
397;664;;;
284;395;;;
290;525;;;
523;442;;;
608;628;;;
1577;600;;;
515;450;;;
831;1627;;;
475;802;;;
689;675;;;
466;825;;;
369;813;;;
458;460;;;
1255;430;;;
203;505;;;
395;1275;;;
1779;497;;;
352;426;;;
1664;1468;;;
1520;505;;;
1326;1542;;;
205;1172;;;
1052;991;;;
1984;367;;;
1538;643;;;
811;1865;;;
1134;1223;;;
290;1477;;;
199;1607;;;
225;442;;;
1022;363;;;
690;446;;;
709;950;;;
967;738;;;
1648;590;;;
2121;805;;;
336;1591;;;
715;1335;;;
1125;418;;;
1521;363;;;
1235;699;;;
1210;940;;;
1654;925;;;
1886;932;;;
1442;780;;;
483;870;;;
1085;791;;;
1044;497;;;
1392;747;;;
2621;507;;;
1567;703;;;
835;801;;;
2529;618;;;
540;568;;;
401;892;;;
1890;484;;;
1352;274;;;
3508;643;;;
681;655;;;
876;543;;;
2667;381;;;
871;434;;;
1995;784;;;
697;405;;;
774;665;;;
1419;375;;;
2513;479;;;
5560;480;;;
1530;1016;;;
761;1701;;;
2144;673;;;
750;608;;;
1861;1052;;;
1496;857;;;
1104;569;;;
989;598;;;
2237;523;;;
1823;618;;;
944;955;;;
991;865;;;
4088;590;;;
1091;628;;;
2123;1827;;;
663;744;;;
515;872;;;
588;480;;;
920;306;;;
922;525;;;
1208;335;;;
1812;817;;;
499;438;;;
505;1026;;;
835;325;;;
1671;493;;;
736;582;;;
1027;1378;;;
1220;424;;;
312;377;;;
1778;517;;;
1465;348;;;
2169;877;;;
1352;332;;;
2635;1303;;;
592;1551;;;
2274;1052;;;
523;452;;;
1873;1342;;;
2836;238;;;
679;608;;;
1360;977;;;
698;420;;;
2124;969;;;
983;486;;;
496;765;;;
568;413;;;
1628;335;;;
237;403;;;
932;483;;;
541;415;;;
1636;655;;;
1104;448;;;
1045;1164;;;
478;435;;;
460;813;;;
1620;517;;;
492;440;;;
406;817;;;
627;405;;;
1748;340;;;
770;764;;;
765;734;;;
541;636;;;
1028;765;;;
564;311;;;
1564;723;;;
2047;498;;;
4174;657;;;
1233;1125;;;
1217;938;;;
782;665;;;
1740;406;;;
1233;697;;;
950;630;;;
2150;466;;;
748;911;;;
1681;1252;;;
1208;586;;;
318;1218;;;
604;975;;;
679;426;;;
1243;418;;;
387;794;;;
572;675;;;
1921;263;;;
1263;333;;;
2497;1327;;;
1252;1077;;;
1080;1598;;;
1191;1018;;;
847;1097;;;
172;610;;;
750;507;;;
1076;281;;;
458;450;;;
1007;790;;;
616;517;;;
444;533;;;
833;562;;;
1522;466;;;
539;450;;;
515;1022;;;
860;590;;;
594;383;;;
817;821;;;
2052;369;;;
1119;330;;;
671;1370;;;
586;446;;;
332;488;;;
2690;511;;;
1529;343;;;
1717;1238;;;
1251;997;;;
1642;1397;;;
1146;985;;;
1754;1180;;;
1908;707;;;
618;1068;;;
1985;1050;;;
827;667;;;
756;918;;;
475;525;;;
695;487;;;
509;584;;;
1990;770;;;
1299;275;;;
821;1473;;;
971;631;;;
626;602;;;
2627;762;;;
553;648;;;
937;2262;;;
871;399;;;
1123;353;;;
1401;569;;;
1421;612;;;
1859;1417;;;
484;742;;;
1761;892;;;
1243;440;;;
470;1066;;;
543;1176;;;
493;339;;;
640;633;;;
1228;436;;;
308;509;;;
426;1177;;;
890;507;;;
1316;438;;;
673;564;;;
527;1025;;;
642;696;;;
756;464;;;
681;356;;;
1163;575;;;
1299;840;;;
750;698;;;
975;1354;;;
957;572;;;
985;568;;;
898;1107;;;
914;777;;;
507;972;;;
1230;888;;;
193;428;;;
497;930;;;
1004;424;;;
1153;351;;;
778;790;;;
437;1189;;;
367;675;;;
809;438;;;
612;528;;;
969;677;;;
389;486;;;
499;456;;;
2077;560;;;
1393;335;;;
475;1096;;;
2351;1310;;;
1017;527;;;
462;2230;;;
809;1235;;;
677;539;;;
185;798;;;
673;570;;;
271;353;;;
1887;576;;;
1046;504;;;
1277;1485;;;
1273;452;;;
1618;1435;;;
495;817;;;
1626;1033;;;
214;375;;;
492;1520;;;
679;337;;;
1404;490;;;
742;773;;;
441;1235;;;
560;860;;;
512;312;;;
947;553;;;
256;533;;;
4473;845;;;
555;622;;;
426;2873;;;
1997;699;;;
811;502;;;
171;1160;;;
1465;775;;;
1370;503;;;
217;1291;;;
2461;766;;;
215;399;;;
1674;1619;;;
797;549;;;
1226;1299;;;
647;1036;;;
339;1366;;;
600;458;;;
319;320;;;
1281;602;;;
288;406;;;
193;695;;;
957;465;;;
963;276;;;
1066;985;;;
723;655;;;
